category,current_price,stock_remaining,weekly_sales,day,month,weekend,recommended_price
Bakery,22.26,141,32,Tuesday,March,0,22.26
Bakery,341.58,457,70,Monday,October,0,341.58
Frozen,25.57,48,28,Tuesday,September,0,25.57
Dairy,285.01,367,84,Saturday,September,1,299.26
Frozen,118.02,302,36,Sunday,January,1,118.02
Beverages,352.09,175,36,Tuesday,April,0,352.09
Household,60.08,195,13,Wednesday,June,0,54.07
Personal Care,405.49,374,59,Friday,February,0,405.49
Frozen,48.61,151,107,Saturday,October,1,54.44
Household,292.9,361,9,Monday,November,0,263.61
Snacks,388.8,41,110,Tuesday,February,0,435.46
Frozen,146.21,326,107,Wednesday,March,0,163.76
Household,184.08,344,35,Saturday,November,1,184.08
Bakery,308.47,88,69,Saturday,April,1,323.89
Beverages,236.51,139,119,Saturday,December,1,264.89
Vegetables,117.61,167,108,Sunday,January,1,131.72
Snacks,412.68,413,41,Thursday,May,0,412.68
Bakery,113.38,483,73,Saturday,June,1,119.05
Snacks,331.16,203,114,Saturday,August,1,370.9
Beverages,139.79,127,96,Friday,September,0,156.56
Personal Care,376.04,220,115,Friday,July,0,421.16
Household,117.47,71,66,Thursday,February,0,123.34
Dairy,431.94,79,81,Tuesday,November,0,483.77
Frozen,302.24,198,49,Friday,August,0,302.24
Vegetables,133.19,284,111,Monday,November,0,149.17
Bakery,344.04,275,97,Wednesday,November,0,385.32
Household,64.66,223,21,Thursday,January,0,58.19
Personal Care,486.23,391,23,Friday,February,0,437.61
Personal Care,422.42,260,78,Tuesday,March,0,443.54
Household,383.63,277,100,Friday,January,0,429.67
Household,249.42,58,119,Wednesday,May,0,279.35
Snacks,38.38,450,73,Monday,February,0,38.38
Fruits,409.85,390,69,Sunday,March,1,430.34
Beverages,333.28,485,71,Tuesday,May,0,333.28
Vegetables,437.49,217,28,Friday,December,0,437.49
Snacks,359.34,205,86,Saturday,June,1,402.46
Fruits,450.81,232,16,Tuesday,April,0,405.73
Bakery,175.66,302,71,Tuesday,October,0,184.44
Snacks,13.52,363,81,Monday,April,0,14.2
Bakery,453.66,441,43,Monday,September,0,408.29
Snacks,146.45,249,28,Friday,March,0,131.81
Fruits,129.07,243,104,Thursday,April,0,144.56
Bakery,57.5,221,46,Thursday,July,0,57.5
Fruits,433.28,28,87,Saturday,November,1,485.27
Bakery,39.7,373,44,Sunday,February,1,39.7
Snacks,103.88,275,58,Tuesday,July,0,103.88
Beverages,146.49,128,112,Monday,August,0,164.07
Vegetables,57.98,334,70,Sunday,January,1,60.88
Bakery,463.92,435,31,Tuesday,July,0,417.53
Fruits,245.87,443,52,Monday,March,0,245.87
Frozen,11.06,200,34,Sunday,August,1,11.06
Personal Care,217.27,491,94,Sunday,September,1,228.13
Fruits,85.85,152,28,Monday,October,0,85.85
Vegetables,39.87,161,8,Monday,October,0,35.88
Fruits,256.4,437,68,Tuesday,January,0,256.4
Vegetables,49.25,96,9,Friday,February,0,44.33
Snacks,207.85,483,114,Friday,April,0,232.79
Dairy,313.5,215,85,Friday,October,0,329.18
Vegetables,165.02,134,27,Saturday,December,1,165.02
Household,126.96,203,17,Saturday,November,1,114.26
Personal Care,234.04,476,97,Monday,January,0,245.74
Fruits,314.37,289,13,Monday,September,0,282.93
Snacks,257.88,68,120,Wednesday,February,0,288.83
Snacks,191.07,81,57,Sunday,September,1,200.62
Personal Care,309.72,414,84,Friday,January,0,325.21
Vegetables,156.7,340,14,Tuesday,May,0,141.03
Bakery,445.96,381,71,Tuesday,May,0,468.26
Personal Care,306.37,368,44,Tuesday,November,0,306.37
Personal Care,257.65,129,116,Sunday,January,1,288.57
Bakery,320.8,425,36,Monday,January,0,288.72
Household,387.85,327,34,Tuesday,December,0,349.07
Fruits,280.32,219,72,Monday,February,0,294.34
Bakery,473.07,354,116,Tuesday,September,0,529.84
Dairy,418.95,299,71,Tuesday,July,0,439.9
Beverages,30.5,187,116,Sunday,January,1,34.16
Household,112.94,128,86,Monday,June,0,126.49
Vegetables,443.23,209,80,Saturday,March,1,465.39
Snacks,433.66,500,103,Sunday,March,1,455.34
Frozen,22.15,378,119,Wednesday,July,0,24.81
Snacks,140.73,404,90,Monday,July,0,147.77
Dairy,430.71,114,26,Sunday,August,1,430.71
Household,159.54,408,112,Tuesday,April,0,178.68
Dairy,333.42,205,43,Wednesday,February,0,333.42
Personal Care,182.06,261,52,Saturday,September,1,182.06
Household,470.23,60,113,Wednesday,March,0,526.66
Personal Care,28.75,306,56,Wednesday,December,0,28.75
Household,223.83,262,15,Thursday,October,0,201.45
Snacks,134.81,363,56,Monday,September,0,134.81
Vegetables,346.56,482,95,Saturday,November,1,363.89
Snacks,188.47,36,86,Wednesday,October,0,211.09
Household,335.06,64,93,Wednesday,September,0,375.27
Personal Care,336.78,168,52,Saturday,May,1,353.62
Vegetables,72.37,216,86,Thursday,November,0,75.99
Beverages,311.6,155,52,Friday,January,0,327.18
Personal Care,150.59,221,101,Friday,October,0,168.66
Household,237.84,227,87,Tuesday,September,0,249.73
Fruits,398.93,492,102,Saturday,March,1,418.88
Bakery,149.06,340,82,Friday,June,0,156.51
Bakery,411.03,385,31,Saturday,May,1,369.93
Snacks,405.22,76,4,Monday,April,0,364.7
Fruits,309.52,394,10,Thursday,July,0,278.57
Snacks,361.99,197,64,Thursday,April,0,380.09
Beverages,331.47,3,115,Sunday,February,1,371.25
Frozen,117.23,412,90,Friday,August,0,123.09
Dairy,283.13,470,109,Monday,August,0,297.29
Beverages,402.69,342,68,Friday,October,0,422.82
Household,475.52,457,57,Friday,December,0,475.52
Vegetables,219.1,465,71,Thursday,March,0,219.1
Fruits,230.53,385,32,Sunday,November,1,207.48
Personal Care,385.25,267,63,Saturday,April,1,404.51
Personal Care,225.54,366,37,Tuesday,May,0,202.99
Household,166.66,277,11,Tuesday,March,0,149.99
Snacks,197.69,79,91,Tuesday,February,0,221.41
Frozen,209.72,278,60,Thursday,January,0,209.72
Snacks,418.12,200,116,Sunday,October,1,468.29
Dairy,429.8,392,74,Thursday,August,0,451.29
Dairy,471.94,153,97,Thursday,July,0,528.57
Vegetables,376.28,280,103,Friday,April,0,421.43
Fruits,117.52,224,63,Monday,July,0,123.4
Household,337.75,409,52,Saturday,March,1,337.75
Fruits,460.58,319,69,Monday,July,0,483.61
Dairy,51.13,220,18,Sunday,August,1,46.02
Beverages,34.64,195,42,Tuesday,August,0,34.64
Household,175.38,451,49,Wednesday,July,0,175.38
Personal Care,419.11,241,3,Saturday,September,1,377.2
Dairy,499.95,180,29,Saturday,February,1,499.95
Dairy,379.57,487,32,Tuesday,January,0,341.61
Beverages,126.89,243,86,Monday,October,0,133.23
Snacks,237.87,132,99,Wednesday,March,0,266.41
Bakery,391.12,84,40,Monday,October,0,391.12
Dairy,465.15,295,87,Thursday,July,0,488.41
Snacks,47.24,354,107,Saturday,April,1,52.91
Bakery,351.62,155,109,Saturday,October,1,393.81
Bakery,400.15,290,101,Monday,June,0,448.17
Vegetables,219.91,190,9,Friday,November,0,197.92
Household,16.2,216,106,Thursday,February,0,18.14
Frozen,480.79,326,115,Sunday,August,1,538.48
Beverages,223.39,376,67,Saturday,May,1,234.56
Vegetables,389.57,239,56,Sunday,December,1,409.05
Personal Care,167.93,126,107,Monday,May,0,188.08
Fruits,129.49,238,73,Friday,November,0,135.96
Frozen,174.83,254,109,Wednesday,March,0,195.81
Fruits,113.94,409,34,Wednesday,May,0,102.55
Personal Care,282.34,265,25,Monday,April,0,254.11
Frozen,249.4,389,31,Saturday,August,1,224.46
Fruits,229.61,9,12,Wednesday,April,0,229.61
Frozen,348.98,157,85,Friday,June,0,366.43
Fruits,281.2,177,55,Saturday,September,1,295.26
Household,182.39,233,35,Wednesday,May,0,182.39
Snacks,69.12,99,41,Monday,December,0,69.12
Vegetables,475.93,354,24,Tuesday,April,0,428.34
Fruits,145.48,302,98,Friday,October,0,162.94
Personal Care,490.45,427,25,Wednesday,April,0,441.4
Household,97.93,8,91,Friday,March,0,109.68
Personal Care,32.3,28,71,Wednesday,December,0,33.91
Beverages,322.56,386,63,Monday,January,0,322.56
Personal Care,240.0,226,44,Tuesday,January,0,240.0
